,,,,,,,,,,,,,,Alt text for submission,"Optional long description or review note for complex figures, diagrams, or charts"
ALT-0144,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,347,P05-3,Figure P05-3,Figure P05-3,docs/images/part14/p05/Cao-Project05-Fig03.svg,yes,1800x982,svg,"Page assets and page number mapping diagram showing Page Asset & Mapping Diagram, Building a Traceable Visual Evidence System, REGION 1: PDF INPUT REGION, PDF Input Region, Financial Report PDF, Page 1.","The figure expands Page assets and page number mapping diagram into labeled components: Page Asset & Mapping Diagram, Building a Traceable Visual Evidence System, REGION 1: PDF INPUT REGION, PDF Input Region, Financial Report PDF, Page 1, Page 2, Page N, REGION 2: PAGE ASSET GENERATION REGION, Page Asset Generation Region (core module), Uniform Rendering, fixed resolution, (e.g., 1024px or DPI), fixed scaling. Additional labels include Page Screenshot Generation, convert each page into an image, preserve full layout, Page ID Assignment, unique ID, (e.g., doc_id_page_001), stable naming scheme, Page Mapping. The layout emphasizes structural relationships among layers, interfaces, artifacts, and governance or validation boundaries."
ALT-0145,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,380,P05-4,Figure P05-4,Figure P05-4,docs/images/part14/p05/Cao-Project05-Fig04.svg,yes,1800x982,svg,"PDF page rendering and visual index construction diagram showing Visual Indexing Pipeline, From Page Images to Traceable Multimodal Index, Engineering Constraints, offline model loading, model path / mirror configuration, memory constraints.","The figure expands PDF page rendering and visual index construction diagram into labeled components: Visual Indexing Pipeline, From Page Images to Traceable Multimodal Index, Engineering Constraints, offline model loading, model path / mirror configuration, memory constraints, batching or load reduction, Design Trade-offs, rendering resolution, large page slicing, multi-resolution storage, index rebuilding strategy, Region 1: PDF Rendering, Region 2: Visual Encoding. Additional labels include Region 3: Index Construction, Region 4, Index Storage & Binding, Page rendering, Financial, Report PDF, Page images, Must include."
ALT-0146,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,433,P05-5,Figure P05-5,Figure P05-5,docs/images/part14/p05/Cao-Project05-Fig05.svg,yes,1800x982,svg,"Top-K multi-page recall and table-of-contents page filtering diagram showing Top-K Retrieval and Filtering Diagram, From single-page failure to robust multi-page reasoning, Region 1: Query & Retrieval, Input: user query, ""How is R&D investment performance?"", Query encoding.","The figure expands Top-K multi-page recall and table-of-contents page filtering diagram into labeled components: Top-K Retrieval and Filtering Diagram, From single-page failure to robust multi-page reasoning, Region 1: Query & Retrieval, Input: user query, ""How is R&D investment performance?"", Query encoding, Page retrieval, Ranked list of pages, Page 1, (likely TOC), Page 2, (content page), Page 3, (table page). Additional labels include Page 4, (chart page), Page 5, (appendix), Region 2: Top-1 vs Top-K Comparison, Left, Top-1 path (failure case), Right."
ALT-0147,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,505,P05-6,Figure P05-6,Figure P05-6,docs/images/part14/p05/Cao-Project05-Fig06.svg,yes,1800x982,svg,"Multi-image context injection and answer constraint diagram showing Multi-image Context and Prompting Diagram, Structured Input for Reliable Multimodal Reasoning, Bad Practice, Good Practice, Region 1: Input Structuring, Region 2: VLM Reasoning.","The figure expands Multi-image context injection and answer constraint diagram into labeled components: Multi-image Context and Prompting Diagram, Structured Input for Reliable Multimodal Reasoning, Bad Practice, Good Practice, Region 1: Input Structuring, Region 2: VLM Reasoning, Region 3: Output Control, User Query, Unordered Images, No indices or context, No Structure, VLM Reasoning, (Confused), Cross-page. Additional labels include confusion, Header-data, mismatch, Output, (Uncontrolled), Generic summaries, Unsupported claims, Incorrect or confused reasoning."
ALT-0148,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,665,P05-7,Figure P05-7,Figure P05-7,docs/images/part14/p05/Cao-Project05-Fig07.svg,yes,1800x1005,svg,"Dual-layer evaluation framework for retrieval and answer quality showing From Retrieval Accuracy to Evidence-grounded Answers, REGION 1: INPUT & OUTPUT, Input, User Query, Multimodal, RAG System.","The figure expands Dual-layer evaluation framework for retrieval and answer quality into labeled components: Dual-layer Evaluation Framework, From Retrieval Accuracy to Evidence-grounded Answers, REGION 1: INPUT & OUTPUT, Input, User Query, Multimodal, RAG System, Output, Answer, Answers must, be grounded in, referenced pages, Referenced, Pages. Additional labels include TWO-LAYER STRUCTURE, EVIDENCE CHAIN, RETRIEVAL QUALITY, Answers must be supported, by retrieved evidence, Retrieved, REGION 2: RETRIEVAL EVALUATION LAYER, Goal: Whether correct pages are retrieved. The layout emphasizes structural relationships among layers, interfaces, artifacts, and governance or validation boundaries."
ALT-0149,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,812,P05-8,Figure P05-8,Figure P05-8,docs/images/part14/p05/Cao-Project05-Fig08.svg,yes,1800x1005,svg,"Multimodal RAG optimization roadmap showing From Prototype to Production-grade System, Retrieval, Accuracy, split pages, into regions, improve local.","The figure expands Multimodal RAG optimization roadmap into labeled components: Multimodal RAG Optimization Roadmap, From Prototype to Production-grade System, Retrieval, Accuracy, split pages, into regions, improve local, retrieval, useful for large tables, Cropping /, Tiling, Patch-level, region-level, only send relevant. Additional labels include patches to VLM, higher, clarity, lower, token cost, Improvement Dimensions, Retrieval Accuracy, Robustness."
ALT-0150,en,Part 14: Practical Projects,P05,Project 5: Multimodal RAG Enterprise Financial Report Assistant,docs/en/part14/p05_mm_rag.md,876,P05-9,Figure P05-9,Figure P05-9,docs/images/part14/p05/Cao-Project05-Fig09.svg,yes,1800x982,svg,"Collaborative architecture of text RAG and multimodal RAG showing the main sequence and control points from Hybrid RAG Architecture, Layered Retrieval and Fusion Generation, Region 1: Input & Routing Layer, User, Query.","The figure expands Collaborative architecture of text RAG and multimodal RAG into labeled components: Hybrid RAG Architecture, Layered Retrieval and Fusion Generation, Region 1: Input & Routing Layer, User, Query, Content-Aware, Routing, Text-Heavy, Pages, Visual-Heavy, Text → Text RAG, Visual → Multimodal, Document, Collection. Additional labels include Region 2: Text RAG Path, Text, OCR / Text, Extraction, Policy text, Narrative sections, Table of contents, Embeddings. The layout emphasizes structural relationships among layers, interfaces, artifacts, and governance or validation boundaries."
ALT-0151,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,182,P06-1,Figure P06-1,Figure P06-1,docs/images/part14/p06/Wang-Project06-Fig01.svg,yes,1800x982,svg,"CoT and PRM Data Factory Overview showing CoT & PRM Data Factory Overview, From Result-level to Process-level Supervision, Layer 1: Result-level Supervision, SFT Data, (Supervised Fine-Tuning), Preference Pairs.","The figure expands CoT and PRM Data Factory Overview into labeled components: CoT & PRM Data Factory Overview, From Result-level to Process-level Supervision, Layer 1: Result-level Supervision, SFT Data, (Supervised Fine-Tuning), Preference Pairs, Evaluation / QA, Limitations: no intermediate error representation, no step-level supervision, limited debugging capability, Layer 2: Process Data Construction, CoT Generation, (Chain-of-Thought), Step, Segmentation, Step-level. Additional labels include Labeling, Core Transition, Result supervision → Process supervision, Positive, Trajectories, Negative, Repair, negative ≠ repair."
ALT-0152,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,229,P06-2,Figure P06-2,Figure P06-2,docs/images/part14/p06/Wang-Project06-Fig02.svg,yes,1280x720,svg,"Step-Level Validation and Training Feedback Loop showing the main sequence and control points from level Validation & Training Loop, From Reasoning Traces to PRM, ready Data, Layer, 1: Task & Trajectory.","The figure expands Step-Level Validation and Training Feedback Loop into labeled components: Step, level Validation & Training Loop, From Reasoning Traces to PRM, ready Data, Layer, 1: Task & Trajectory, Generation, 2: Step Validation & Reward, Assignment, 3: Training Packaging &, Delivery, Task, Sampling, Specification. Additional labels include Multi, Trajectory, Sampling Balance, Reasoning, Traces, Positive trajectory, Negative trajectory, Repair trajectory. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0153,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,346,P06-3,Figure P06-3,Figure P06-3,docs/images/part14/p06/Wang-Project06-Fig03.svg,yes,1800x982,svg,"Task Sampling and Specification Generation Flowchart showing the main sequence and control points from Task Sampling & Specification Pipeline, From Random Sampling to Spec-driven Data Construction, Region 1, Raw Task Pool, Mixed Pool.","The figure expands Task Sampling and Specification Generation Flowchart into labeled components: Task Sampling & Specification Pipeline, From Random Sampling to Spec-driven Data Construction, Region 1, Raw Task Pool, Mixed Pool, Math Tasks, Code Tasks, Region 2: Task Specification Layer, Task Type, (Math/Code), Difficulty Level, Trajectory, Structure, Constraints. Additional labels include Validation Mode, Rule-, based, Execution-based, Result-based, Task spec = upstream control interface, task_spec.json, Reusable. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0154,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,419,P06-4,Figure P06-4,Figure P06-4,docs/images/part14/p06/Wang-Project06-Fig04.svg,yes,2752x1536,svg,"Schematic of the Three Trajectory Types showing Three Types of Reasoning Traces, Positive Trace, Step 1, Understand task, Step 2, Correct reasoning.",
ALT-0155,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,473,P06-5,Figure P06-5,Figure P06-5,docs/images/part14/p06/Wang-Project06-Fig05.svg,yes,1344x734,svg,"PRM Step Schema Schematic showing From Trace to Atomic Supervision Unit, sequence of, reasoning steps, Issues, only global scoring, no step.","The figure expands PRM Step Schema Schematic into labeled components: PRM Step Schema, From Trace to Atomic Supervision Unit, sequence of, reasoning steps, Issues, only global scoring, no step, level visibility, Decomposition, split trace into steps, Step 1, Step 2, Step 3, step = atomic. Additional labels include supervision unit, Structuring, Validation, Step Schema, Purpose, Type, Field, Unique identifier for the full reasoning trace. The layout emphasizes structural relationships among layers, interfaces, artifacts, and governance or validation boundaries."
ALT-0156,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,549,P06-6,Figure P06-6,Figure P06-6,docs/images/part14/p06/Wang-Project06-Fig06.svg,yes,1400x764,svg,"Step Validation and Result Comparison Pipeline showing the main sequence and control points from Validation & Scoring Pipeline, Subtitle: From Traces to Training Signals, Input Traces, Input, trace with steps.","The figure expands Step Validation and Result Comparison Pipeline into labeled components: Validation & Scoring Pipeline, Subtitle: From Traces to Training Signals, Input Traces, Input, trace with steps, domain (math / code), Validation Routing, if math ->, if code ->, validate_math_trace, • final answer match, validate_code_trace, •execution, •unit tests. Additional labels include Process supervision, data validations, domain analyst, VALIDATION IS PART OF, DATA PRODUCTION, NOT, POST-HOC EVALUATION, Output, validation_passed. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0157,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,583,P06-7,Figure P06-7,Figure P06-7,docs/images/part14/p06/Wang-Project06-Fig07.svg,yes,1280x720,svg,"Step Labels and Process-Only Signal Schematic showing Step Labels and Process Signals, Beyond Outcome, based Supervision, TRAJECTORIES, LEVEL, REWARD MAPPING.",
ALT-0158,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,682,P06-8,Figure P06-8,Figure P06-8,docs/images/part14/p06/Wang-Project06-Fig08.svg,yes,1400x781,svg,"PRM Data Packaging and Training Interface showing From Step Signals to Training Data, Step-level data, Packaging layer, Dataset outputs, Step Data, step-level records.","The figure expands PRM Data Packaging and Training Interface into labeled components: PRM Data Packaging, From Step Signals to Training Data, Step-level data, Packaging layer, Dataset outputs, Training interface, Step Data, step-level records, step_text, label, reward_bucket, transform into, training records, Comparison. Additional labels include without packaging, -> unusable, with packaging, -> training-ready, prm_step_dataset.jsonl, train.jsonl, smoke_test.jsonl, val.jsonl."
ALT-0159,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,755,P06-9,Figure P06-9,Figure P06-9,docs/images/part14/p06/Wang-Project06-Fig09.svg,yes,1280x720,svg,"Validation Pass Rate vs. Trajectory Type Comparison summarizing Validation Metrics Analysis, Understanding System Behavior, Minarin, metrics that reflect system behavior, DISTRIBUTION, RATES.","The figure expands Validation Pass Rate vs. Trajectory Type Comparison into labeled components: Validation Metrics Analysis, Understanding System Behavior, Minarin, metrics that reflect system behavior, TRAJECTORY, DISTRIBUTION, VALIDATION, RATES, REWARD, BUCKET, INTERPRETATION, Count, positive, negative. Additional labels include repair, Trajectory Type, overall = 67.59%, positive = 100%, 100%, Validation Metrics, low = 27, high = 36. The visual is intended to compare categories or summarize measurements, so the category labels and relative groupings are the main information to preserve."
ALT-0160,en,Part 14: Practical Projects,P06,Project 6: CoT Reasoning Dataset Construction and PRM Training,docs/en/part14/p06_prm.md,854,P06-10,Figure P06-10,Figure P06-10,docs/images/part14/p06/Wang-Project06-Fig10.svg,yes,1672x941,svg,"Noise Sources in Negative and Repair Trajectories showing Noise in PRM Trajectories, Sources and Control, Noise = Red/, Orange, Signal = Green/, Blue.","The figure expands Noise Sources in Negative and Repair Trajectories into labeled components: Noise in PRM Trajectories, Sources and Control, Noise = Red/, Orange, Signal = Green/, Blue, Negative Noise Sources, Repair Noise Sources], Impact on Learning, Control Strategies, meaningful, errors, random, noise. Additional labels include mixed, signals, ambiguous, correction, start, unreliable, repair, stylistic."
ALT-0161,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,98,P07-1,Figure P07-1,Figure P07-1,docs/images/part14/p07/Yu-Project07-Fig01.svg,yes,1672x941,svg,"Agent Tool-Use Data Factory Overview showing MODERN DATA FACTORY SYSTEM ARCHITECTURE: AGENT TOOL-USE DATA PIPELINE, BEHAVIOR, TRAJECTORY, LAYER, User query, Multi-step interactions.","The figure expands Agent Tool-Use Data Factory Overview into labeled components: MODERN DATA FACTORY SYSTEM ARCHITECTURE: AGENT TOOL-USE DATA PIPELINE, BEHAVIOR, TRAJECTORY, LAYER, User query, Multi-step interactions, Parameter construction, Response chaining, Intent Recognition, Step 1, Step 2, Step 3, Decision points, Iterative refinement. Additional labels include TOOL SCHEMA, REGISTRY, TASK DESIGN &, DECOMPOSITION, GENERATION, SIMULATION /, SANDBOX EXECUTION, RECOVERY &."
ALT-0162,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,214,P07-2,Figure P07-2,Figure P07-2,docs/images/part14/p07/Yu-Project07-Fig02.svg,yes,1699x926,svg,"Agent Tool-Use Three-Layer Architecture Diagram showing the main sequence and control points from TOOL SPECIFICATION LAYER, TRAJECTORY CONSTRUCTION LAYER, EXECUTION AND EVALUATION LAYER, definitions, Task.","The figure expands Agent Tool-Use Three-Layer Architecture Diagram into labeled components: TOOL SPECIFICATION LAYER, TRAJECTORY CONSTRUCTION LAYER, EXECUTION AND EVALUATION LAYER, Tool, definitions, Task, inputs, Training, datasets, Evaluation, reports, Tool schema, definition, parameter. Additional labels include field, specification, invocation, constraints, tool category, labeling, authorization, and risk. The layout emphasizes structural relationships among layers, interfaces, artifacts, and governance or validation boundaries."
ALT-0163,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,253,P07-3,Figure P07-3,Figure P07-3,docs/images/part14/p07/Yu-Project07-Fig03.svg,yes,1672x941,svg,"Key Engineering Facets of the Agent Data Factory showing Capability and Boundary Definition, Data and Interface Organization, Environment and Execution Control, Evaluation and Safety Validation, tool boundaries, task types.",
ALT-0164,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,327,P07-4,Figure P07-4,Figure P07-4,docs/images/part14/p07/Yu-Project07-Fig04.svg,yes,1672x941,svg,"Tool Schema Structure Diagram showing TOOL SCHEMA (JSON Structure), Dataset Packaging, Packages synthetic or real-world data into schema-compliant datasets for training/testing, Behavior Modeling, Models expected agent behavior and responses based on schema specifications, Parameter Validation.","The figure expands Tool Schema Structure Diagram into labeled components: TOOL SCHEMA (JSON Structure), Dataset Packaging, Packages synthetic or real-world data into schema-compliant datasets for training/testing, Behavior Modeling, Models expected agent behavior and responses based on schema specifications, Parameter Validation, Strictly validates input arguments against schema types and constraints before execution, Trajectory Generation, Uses schema parameters to generate execution paths and decision sequences, Task Template Construction, Constructs reusable task templates based on schema definitions and constraints, Evaluation and Checks, Compares actual tool execution results against expected returns and error handling defined in the schema, Simulation Environment. Additional labels include Simulates tool execution using schema-defined parameters and environment boundaries. The."
ALT-0165,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,402,P07-5,Figure P07-5,Figure P07-5,docs/images/part14/p07/Yu-Project07-Fig05.svg,yes,1700x925,svg,"Relationship Diagram of Task Specifications and Trajectory Templates showing TASK SPECIFICATION LAYER, (Abstract Tasks), TRAJECTORY TEMPLATE LAYER, (Defined Shapes), TRAJECTORY INSTANCES, (Trainable Data).","The figure expands Relationship Diagram of Task Specifications and Trajectory Templates into labeled components: TASK SPECIFICATION LAYER, (Abstract Tasks), TRAJECTORY TEMPLATE LAYER, (Defined Shapes), TRAJECTORY INSTANCES, (Trainable Data), category, information_retrieval, objective, Find latest product specs, query, ""What are the new features of Model X?"", domain, tech_support. Additional labels include recovery_mode, retry_with_clarification, memory_flag, true, safety_flag, standard, multi_step_reasoning, Compare flight options and book."
ALT-0166,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,492,P07-6,Figure P07-6,Figure P07-6,docs/images/part14/p07/Yu-Project07-Fig06.svg,yes,1400x684,svg,"success / recovery / block Trajectory Taxonomy Diagram showing AGENT BEHAVIOR TRAJECTORY COMPARISON, SUCCESS TRAJECTORY, RECOVERY TRAJECTORY, BLOCKED TRAJECTORY, user, assistant_plan.","The figure expands success / recovery / block Trajectory Taxonomy Diagram into labeled components: AGENT BEHAVIOR TRAJECTORY COMPARISON, SUCCESS TRAJECTORY, RECOVERY TRAJECTORY, BLOCKED TRAJECTORY, user, assistant_plan, tool_call, observation, assistant_final, error/exception, (adjustment), (corrected parameters), (explanation), (blocked)."
ALT-0167,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,563,P07-7,Figure P07-7,Figure P07-7,docs/images/part14/p07/Yu-Project07-Fig07.svg,yes,1672x941,svg,"Simulated Tool Environment Execution Closure Diagram showing CLOSED-LOOP AGENT TOOL-USE PIPELINE EXECUTION CYCLE, TRAJECTORY INPUT, structured event sequence, (user / plan / tool_call / observation / final), EXECUTION ENGINE, step-by-step event processing.","The figure expands Simulated Tool Environment Execution Closure Diagram into labeled components: CLOSED-LOOP AGENT TOOL-USE PIPELINE EXECUTION CYCLE, TRAJECTORY INPUT, structured event sequence, (user / plan / tool_call / observation / final), EXECUTION ENGINE, step-by-step event processing, tool invocation handling, TOOL DISPATCHER, routes tool calls based, on tool_name, SIMULATED TOOL FUNCTIONS, search_docs, sql_customer_db, calendar_lookup. Additional labels include python_exec, memory_write /, memory_read, TOOL RESPONSE, success / failure, payload data, LOGGING LAYER, (Tool Logs & Execution Trace)."
ALT-0168,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,597,P07-8,Figure P07-8,Figure P07-8,docs/images/part14/p07/Yu-Project07-Fig08.svg,yes,1400x764,svg,"P07 Six-Step Pipeline Diagram showing the main sequence and control points from Definition & Generation, Execution & Data, Evaluation & Validation, build_tooling.py, 1. Build.","The figure expands P07 Six-Step Pipeline Diagram into labeled components: Definition & Generation, Execution & Data, Evaluation & Validation, build_tooling.py, 1. Build, Tooling, schema definition, template construction, task specifications, generate_trajectories.py, 2. Generate, Trajectories, success / recovery /, block trajectory. Additional labels include generation, multi-step behavior, sequences, simulate_tool_env.py, 3. Simulate, Environment, Execution, tool execution. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0169,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,627,P07-9,Figure P07-9,Figure P07-9,docs/images/part14/p07/Yu-Project07-Fig09.svg,yes,1672x941,svg,"Parameter Correction and Retry Flow Diagram showing the main sequence and control points from REQUEST, PLANNING STAGE, (assistant_plan), TOOL CALL, (tool_call).","The figure expands Parameter Correction and Retry Flow Diagram into labeled components: REQUEST, PLANNING STAGE, (assistant_plan), TOOL CALL, (tool_call), Initial Attempt, RESULT, OBSERVATION, (tool response), ASSISTANT_FINAL, WITH ERROR, INDICATION, Failed, ANALYSIS STAGE. Additional labels include Interpreting, the issue, PARAMETER, ADJUSTMENT, Modifying, arguments or, query, Adjustment. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0170,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,665,P07-10,Figure P07-10,Figure P07-10,docs/images/part14/p07/Yu-Project07-Fig10.svg,yes,1672ptx941pt,svg,"Memory Read/Write Trajectory Diagram showing State- aware trajectory of Agent: memory read/write during multi-step tasks, Initial, Planning, Contextualization, Processing &, Feedback.","The figure expands Memory Read/Write Trajectory Diagram into labeled components: State- aware trajectory of Agent: memory read/write during multi-step tasks, Initial, Planning, Contextualization, Processing &, Feedback, state update, user, assistant_plan, memory_read, tool_call, observation, memory_write, assistant_final. Additional labels include alternative read/write ordering, affecting later steps, read before, decision, path without, memory write, Controlled, Write Behavior."
ALT-0171,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,700,P07-11,Figure P07-11,Figure P07-11,docs/images/part14/p07/Yu-Project07-Fig11.svg,yes,1702x924,svg,"Unsafe Block Decision Flow Diagram showing the main sequence and control points from User request, permission, scope, read, execute.","The figure expands Unsafe Block Decision Flow Diagram into labeled components: User request, permission, scope, read, execute, operation, type, data, sensitivity, tool capability, range, Analysis node, (assistant_plan /, safety analysis). Additional labels include Decision, (Safety Check), Safe for, Execution, Unsafe /, Blocked, tool_call, observation. Read left to right or around the loop as a data-engineering process, with upstream artifacts transformed, validated, and packaged for downstream training or governance use."
ALT-0172,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,762,P07-12,Figure P07-12,Figure P07-12,docs/images/part14/p07/Yu-Project07-Fig12.svg,yes,1672x941,svg,"Event Log to Training Sample Reassembly Diagram showing codts {, <gc, <ac, [10:00:01] user, ""Analyze the sales, data"".","The figure expands Event Log to Training Sample Reassembly Diagram into labeled components: codts {, <gc, <ac, [10:00:01] user, ""Analyze the sales, data"", [10:00:02] assistant_plan, ""First, I'll use the tool to, fetch the data, then visualize, it."", [10:00:03] tool_call, fetch_sales_data{""period"", ""Q3""}, [10:00:12] observation: ""Data. Additional labels include 1500 units, $45,000 revenue."", [10:00:15] assistant_final, ""The Q3 sales data shows, 1500 units sold, totaling, $45,000 in revenue."", Trajectory Log A, [11:05:00] user: ""What is, the weather in Tokyo?""."
ALT-0173,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,883,P07-13,Figure P07-13,Figure P07-13,docs/images/part14/p07/Yu-Project07-Fig13.svg,yes,1672x941,svg,"Evaluation and Inspection Dual-Closure Diagram showing Evaluation Loop, Validation & Checks Loop, Executed, Trajectories, Metrics, Computation.","The figure expands Evaluation and Inspection Dual-Closure Diagram into labeled components: Evaluation Loop, Validation & Checks Loop, Executed, Trajectories, Metrics, Computation, Output, Behavior, Analysis, Agent, Tool-Use, Data Factory, tool_call_success_rate, trajectory_success_rate. Additional labels include recovery_success_rate, unsafe_block_rate, memory_success_rate, Datasets &, Artifacts, Validation, Rules, Check."
ALT-0174,en,Part 14: Practical Projects,P07,Project 7: Agent Tool-Use Data Factory,docs/en/part14/p07_agent_tooluse.md,934,P07-14,Figure P07-14,Figure P07-14,docs/images/part14/p07/Yu-Project07-Fig14.svg,yes,1672x941,svg,"P07 Future Evolution Roadmap showing AGENT TOOL-USE DATA FACTORY EVOLUTION BLUEPRINT, APPLICATION SYSTEMS LAYER, ENTERPRISE AGENTS, TOOLS, AUTOMATED, WORKFLOW SYSTEMS.","The figure expands P07 Future Evolution Roadmap into labeled components: AGENT TOOL-USE DATA FACTORY EVOLUTION BLUEPRINT, APPLICATION SYSTEMS LAYER, ENTERPRISE AGENTS, TOOLS, AUTOMATED, WORKFLOW SYSTEMS, END-TO-END, COPILOTS, LONG-TERM, MEMORY, METRICS, MINIMAL, TOOL-USE, FACTORY. Additional labels include TOOL SELECTION, ACCURACY, PARAMETER, CORRECTNESS, RETRY, EFFICIENCY, MULTI-TURN, CONSISTENCY."
ALT-0175,en,Part 14: Practical Projects,P08,Project 8: Building an Enterprise DataOps Platform,docs/en/part14/p08_dataops.md,272,P08-1,Figure 1: P08 DataOps platform overview,Figure 1: P08 DataOps platform overview,docs/images/part14/p08/Yu-Project08-Fig01.svg,yes,1672x941,svg,"P08 DataOps platform overview showing Enterprise-Grade DataOps Platform Overview, Centralized Control Plane & Data Platform Blueprint, INPUT, OUTPUT, Data Sources, Structured DB.","The figure expands P08 DataOps platform overview into labeled components: Enterprise-Grade DataOps Platform Overview, Centralized Control Plane & Data Platform Blueprint, INPUT, OUTPUT, Data Sources, Structured DB, Object Storage, Streams, Labeling Systems, Manual, Semi-Automated, Model Training, Systems, AI/ML Frameworks. Additional labels include Compute Cluster, Datasets, Processed, Versioned, Governed, Experiment Reports, Performance, Comparisons."
ALT-0176,en,Part 14: Practical Projects,P08,Project 8: Building an Enterprise DataOps Platform,docs/en/part14/p08_dataops.md,328,P08-2,Figure 2: Four-layer platform architecture,Figure 2: Four-layer platform architecture,docs/images/part14/p08/Yu-Project08-Fig02.svg,yes,1672x941,svg,"Four-layer platform architecture showing the main sequence and control points from SOURCES, LABELING, SYSTEMS, MODEL, TRAINING.","The figure expands Four-layer platform architecture into labeled components: SOURCES, LABELING, SYSTEMS, MODEL, TRAINING, ACCESS & SERVICE LAYER, SCHEDULING & EXECUTION LAYER, METADATA & GOVERNANCE LAYER, STORAGE & ASSET LAYER, INTERFACES, USER & TENANT, MANAGEMENT, AUTHENTICATION &, ACCESS CONTROL. Additional labels include CONSOLE, ENTRY, PERMISSIONS, SCHEDULING, ALERTS, QUEUES, SCHEDULER, EXECUTION. The layout emphasizes structural relationships among layers, interfaces, artifacts, and governance or validation boundaries."
